,TweetId,Text_Only_Informative,Image_Only_Informative,Directed_Hate,Generalized_Hate,Sarcasm,Allegation,Justification,Refutation,Support,Oppose
105,1048511333426024448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,1048548462168424448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,1048565625520447488,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3252,1048584073885704193,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1048606748746166273,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3251,1048626947624845312,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,1048638014350680065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,1048651813858230273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1048656738985988096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1048666090643980288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7364,1048683135393832960,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7363,1048684532906352640,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7362,1048685403451117569,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
97,1048687749950189568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7361,1048689749190426624,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,1048693288809590784,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7360,1048698795263844352,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7359,1048710139895853057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7358,1048715429785559040,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7357,1048717039509102592,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7356,1048723591078920192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7355,1048726399371137029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7354,1048737922344800256,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7353,1048746395111493632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,1048746747420274689,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7352,1048749441098960896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7351,1048750121838686209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7350,1048750782684778496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7349,1048755008647389184,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7348,1048759301920251910,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1048763205722329088,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
93,1048773251483103232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7347,1048803003136794624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7346,1048817321417084928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250,1048823151184961536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7345,1048828575137378304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7344,1048830287382233088,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7343,1048835750513573888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7342,1048837002731372544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7341,1048837835959271424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7340,1048839041062526976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7339,1048840204184956929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1048842807350255616,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7338,1048844122252095493,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7337,1048844727196561408,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7336,1048849170231115776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7335,1048849598415036416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7334,1048850689642774528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7333,1048857578917134336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7332,1048857732453941249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7331,1048859427904913408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7330,1048860484252971008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91,1048863742019088386,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7329,1048868333121101825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7328,1048870560170569728,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7327,1048871163861110784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7326,1048872157902778368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7325,1048872570077040640,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7324,1048875425257181186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7323,1048876364542050304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7322,1048879771139145728,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7321,1048881201061277696,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7320,1048885998388764673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1048892682389475329,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7319,1048895231704293376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7318,1048897624160587776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7317,1048898209442144257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7316,1048898671465713664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7315,1048901474204442625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7314,1048909310934376452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3249,1048909313555800064,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1048913572695293957,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
88,1048915979328217088,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7313,1048917102466351105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7312,1048923386477531142,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7311,1048923444669296640,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7310,1048926359882489856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7309,1048928120437395457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1048930172316143616,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,1048931102356901888,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7308,1048931326655647746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7307,1048933967859048453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7306,1048936392347340800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7305,1048937268814209024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
